activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1480935,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '18.28', 'le': '0.33', 'lle': '3.25', 'sei': '5.90'}",CHEMBL187579,,CHEMBL187579,5.14,False,http://www.openphacts.org/units/Nanomolar,384103,=,1,True,=,,IC50,nM,,7200.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,7.2
,1480936,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '12.10', 'le': '0.33', 'lle': '1.22', 'sei': '13.45'}",CHEMBL188487,,CHEMBL188487,5.03,False,http://www.openphacts.org/units/Nanomolar,383984,=,1,True,=,,IC50,nM,,9400.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,9.4
,1481061,[],CHEMBL830868,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '11.56', 'le': '0.29', 'lle': '2.21', 'sei': '8.72'}",CHEMBL185698,,CHEMBL185698,4.87,False,http://www.openphacts.org/units/Nanomolar,384106,=,1,True,=,,IC50,nM,,13500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,13.5
,1481065,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '16.64', 'le': '0.32', 'lle': '1.25', 'sei': '13.06'}",CHEMBL426082,,CHEMBL426082,4.88,False,http://www.openphacts.org/units/Nanomolar,384075,=,1,True,=,,IC50,nM,,13110.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,13.11
,1481066,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-],,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '16.84', 'le': '0.32', 'lle': '2.16', 'sei': '7.08'}",CHEMBL187717,,CHEMBL187717,5.70,False,http://www.openphacts.org/units/Nanomolar,384234,=,1,True,=,,IC50,nM,,2000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,2.0
,1481068,[],CHEMBL828143,In vitro inhibitory concentration SARS coronavirus main protease (SARS CoV 3C-like protease) ,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '16.14', 'le': '0.37', 'lle': '1.62', 'sei': '16.07'}",CHEMBL365134,,CHEMBL365134,6.01,False,http://www.openphacts.org/units/Nanomolar,384081,=,1,True,=,,IC50,nM,,980.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,0.98
,1481088,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '17.08', 'le': '0.33', 'lle': '1.55', 'sei': '14.22'}",CHEMBL187598,,CHEMBL187598,5.32,False,http://www.openphacts.org/units/Nanomolar,384303,=,1,True,=,,IC50,nM,,4820.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,4.82
,1481089,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '14.36', 'le': '0.37', 'lle': '1.78', 'sei': '16.11'}",CHEMBL190743,,CHEMBL190743,6.02,False,http://www.openphacts.org/units/Nanomolar,384329,=,1,True,=,,IC50,nM,,950.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,0.95
,1481093,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '15.10', 'le': '0.31', 'lle': '0.67', 'sei': '13.24'}",CHEMBL365469,,CHEMBL365469,4.95,False,http://www.openphacts.org/units/Nanomolar,384283,=,1,True,=,,IC50,nM,,11200.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,11.2
,1481209,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '10.40', 'le': '0.26', 'lle': '-0.12', 'sei': '12.38'}",CHEMBL188983,,CHEMBL188983,4.63,False,http://www.openphacts.org/units/Nanomolar,384742,=,1,True,=,,IC50,nM,,23500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,23.5
,1481212,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.37', 'le': '0.24', 'lle': '-0.09', 'sei': '7.37'}",CHEMBL191575,,CHEMBL191575,4.90,False,http://www.openphacts.org/units/Nanomolar,384846,=,1,True,=,,IC50,nM,,12570.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,12.57
,1481219,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.90', 'le': '0.25', 'lle': '1.05', 'sei': '8.25'}",CHEMBL370923,,CHEMBL370923,4.76,False,http://www.openphacts.org/units/Nanomolar,384826,=,1,True,=,,IC50,nM,,17500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,17.5
,1610716,[],CHEMBL880249,Inhibitory concentration required for antiviral activity against SARS-CoV 3CLpro protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,,,CHEMBL1141032,J. Med. Chem.,2005,"{'bei': '7.49', 'le': '0.14', 'lle': '1.66', 'sei': '2.77'}",CHEMBL194398,,CHEMBL194398,4.35,False,http://www.openphacts.org/units/Nanomolar,403248,=,1,True,=,,IC50,nM,,45000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,45.0
,1610719,[],CHEMBL880249,Inhibitory concentration required for antiviral activity against SARS-CoV 3CLpro protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,,,CHEMBL1141032,J. Med. Chem.,2005,"{'bei': '7.44', 'le': '0.14', 'lle': '1.35', 'sei': '2.65'}",CHEMBL196635,,CHEMBL196635,4.16,False,http://www.openphacts.org/units/Nanomolar,403249,=,1,True,=,,IC50,nM,,70000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,70.0
,1720026,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCN1C(=O)C(=O)c2cc(I)ccc21,,,CHEMBL1148529,J. Med. Chem.,2006,"{'bei': '12.70', 'le': '0.36', 'lle': '1.56', 'sei': '11.18'}",CHEMBL209287,,CHEMBL209287,4.18,False,http://www.openphacts.org/units/Nanomolar,491287,=,1,True,=,,IC50,nM,,66000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,66.0
,1720279,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,,,CHEMBL1148529,J. Med. Chem.,2006,"{'bei': '19.47', 'le': '0.35', 'lle': '3.76', 'sei': '7.99'}",CHEMBL358279,,CHEMBL358279,6.43,False,http://www.openphacts.org/units/Nanomolar,491306,=,1,True,=,,IC50,nM,,370.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,0.37
,1720280,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,,,CHEMBL1148529,J. Med. Chem.,2006,"{'bei': '17.49', 'le': '0.32', 'lle': '3.39', 'sei': '6.09'}",CHEMBL348660,,CHEMBL348660,4.90,False,http://www.openphacts.org/units/Nanomolar,491304,=,1,True,=,,IC50,nM,,12500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,12.5
,1720281,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,,,CHEMBL1148529,J. Med. Chem.,2006,"{'bei': '19.17', 'le': '0.36', 'lle': '3.61', 'sei': '5.87'}",CHEMBL379727,,CHEMBL379727,4.72,False,http://www.openphacts.org/units/Nanomolar,491303,=,1,True,=,,IC50,nM,,19000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,19.0
,1720282,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,,,CHEMBL1148529,J. Med. Chem.,2006,"{'bei': '19.82', 'le': '0.37', 'lle': '3.88', 'sei': '5.72'}",CHEMBL210525,,CHEMBL210525,4.60,False,http://www.openphacts.org/units/Nanomolar,491302,=,1,True,=,,IC50,nM,,25000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,25.0
,1720283,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,,,CHEMBL1148529,J. Med. Chem.,2006,"{'bei': '20.32', 'le': '0.38', 'lle': '4.21', 'sei': '5.16'}",CHEMBL148483,,CHEMBL148483,4.15,False,http://www.openphacts.org/units/Nanomolar,491301,=,1,True,=,,IC50,nM,,71000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,71.0
,1720284,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(I)cc21,,,CHEMBL1148529,J. Med. Chem.,2006,"{'bei': '14.42', 'le': '0.35', 'lle': '1.79', 'sei': '15.94'}",CHEMBL383725,,CHEMBL383725,5.96,False,http://www.openphacts.org/units/Nanomolar,491289,=,1,True,=,,IC50,nM,,1100.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,1.1
